"","subj","cat","token","token_count"
"1",2,"Andesite",1,3
"2",2,"Pegmatite",9,3
"3",2,"Pumice",3,4
"4",2,"Peridotite",12,4
"5",2,"Andesite",4,2
"6",2,"Pegmatite",6,3
"7",2,"Peridotite",13,3
"8",2,"Basalt",14,4
"9",2,"Gabbro",15,2
"10",2,"Obsidian",16,4
"11",2,"Diorite",15,6
"12",2,"Obsidian",5,6
"13",2,"Peridotite",6,4
"14",2,"Obsidian",11,4
"15",2,"Peridotite",10,4
"16",2,"Diorite",11,4
"17",2,"Pegmatite",13,3
"18",2,"Basalt",9,3
"19",2,"Pegmatite",7,3
"20",2,"Obsidian",14,4
"21",2,"Pegmatite",10,6
"22",2,"Basalt",1,3
"23",2,"Gabbro",3,5
"24",2,"Peridotite",14,2
"25",2,"Basalt",16,2
"26",2,"Andesite",10,2
"27",2,"Gabbro",13,3
"28",2,"Diorite",14,5
"29",2,"Diorite",2,3
"30",2,"Basalt",6,3
"31",2,"Diorite",10,2
"32",2,"Pumice",5,4
"33",2,"Diorite",8,3
"34",2,"Pumice",6,2
"35",2,"Basalt",8,3
"36",2,"Gabbro",5,3
"37",2,"Pumice",15,1
"38",2,"Peridotite",5,0
"39",2,"Andesite",3,2
"40",2,"Pumice",9,2
"41",2,"Andesite",7,2
"42",2,"Obsidian",12,2
"43",2,"Gabbro",16,2
"44",2,"Pumice",8,2
"45",2,"Gabbro",11,1
"46",2,"Pegmatite",11,1
"47",2,"Andesite",6,2
"48",2,"Obsidian",8,3
